lat,lon,Name,comparison
39.9459814,-75.1659379,no_name,16.3707055437449
43.6460042,-79.4210642,no_name,17.88854381999832
38.9123684,-77.0397082,no_name,19.672315572906
43.642802,-79.42693790000001,no_name,21.330729007701542
34.0447385,-118.2584771,no_name,21.354156504062622
43.652288399999996,-79.4252165,no_name,21.494185260204677
41.5027845,-81.69561740000002,no_name,21.517434791350013
42.0510182,-87.68025949999999,no_name,21.563858652847824
39.3051648,-76.6171636,no_name,21.633307652783937
39.3050864,-76.616538,no_name,21.633307652783937
19.4493455,-99.1517874,no_name,21.863211109075447
40.7628157,-111.90465,no_name,22.090722034374522
45.5379992,-122.61915159999998,no_name,22.135943621178654
39.3059049,-76.6158505,no_name,22.271057451320086
34.0501698,-118.2569846,no_name,22.9128784747792
39.1073245,-84.5170826,no_name,22.978250586152114
39.095292,-94.5852006,no_name,23.0
39.0940753,-94.58060079999998,no_name,23.108440016582687
43.6738824,-79.3230866,no_name,23.473389188611005
39.9550756,-75.1878808,no_name,23.62202362203543
52.8779182,-118.08307279999998,no_name,23.643180835073778
43.6600806,-79.39974529999999,no_name,23.853720883753127
47.2425006,-122.43808090000002,no_name,24.020824298928627
40.680254299999994,-73.96711579999999,no_name,24.515301344262525
43.6596694,-79.4007353,no_name,24.535688292770594
43.667738299999996,-79.40035340000001,no_name,24.596747752497688
47.24662670000001,-122.43892549999998,no_name,24.698178070456937
43.6605675,-79.4006431,no_name,24.758836806279895
51.0465656,-114.0746919,no_name,24.859605789312106
39.094866700000004,-94.5831217,no_name,24.879710609249457
43.6586788,-79.3980012,no_name,24.899799195977465
36.8504487,-76.2906053,no_name,24.939927826679853
33.7568061,-84.3894827,no_name,24.95996794869737
39.9545242,-75.18767690000001,no_name,25.0
43.658812700000006,-79.3975564,no_name,25.03996805109783
43.660413899999995,-79.4001102,no_name,25.059928172283335
43.6681008,-79.40047129999999,no_name,25.11971337416094
43.6611294,-79.4005248,no_name,25.13961017995307
37.7635169,-122.43049029999999,no_name,25.357444666211933
43.66391470000001,-79.4011735,no_name,25.39685019840059
33.7566154,-84.3897495,no_name,25.495097567963924
39.0966189,-94.5816937,no_name,25.514701644346147
33.7571441,-84.3897173,no_name,25.573423705088842
43.664084,-79.4020776,no_name,25.709920264364882
42.3496099,-71.099731,no_name,25.748786379167466
43.6627691,-79.4010421,no_name,25.748786379167466
33.756772399999996,-84.387237,no_name,25.80697580112788
43.6608113,-79.4003078,no_name,26.057628441590765
33.756354200000004,-84.38915279999999,no_name,26.13426869074396
41.8128178,-87.8716513,no_name,26.362852652928137
43.6676722,-79.4009733,no_name,26.419689627245813
33.754282700000005,-84.390203,no_name,26.419689627245813
43.66090870000001,-79.3999249,no_name,26.570660511172846
38.9252821,-77.0381532,no_name,26.68332812825267
32.223126199999996,-110.9666962,no_name,26.739483914241877
41.8120282,-87.87149790000001,no_name,26.90724809414742
43.6796958,-79.4442264,no_name,26.92582403567252
43.664356700000006,-79.4011311,no_name,26.962937525425527
43.6598666,-79.3984688,no_name,27.055498516937366
43.659712899999995,-79.3974892,no_name,27.2213151776324
43.6591667,-79.3968996,no_name,27.258026340878022
36.849912100000005,-76.2915614,no_name,27.477263328068172
43.6648523,-79.4009679,no_name,27.49545416973504
43.662985600000006,-79.40025909999999,no_name,27.53179979587241
43.64105120000001,-79.3762101,no_name,27.568097504180443
43.659980600000004,-79.3978617,no_name,27.568097504180443
33.7550586,-84.38996479999999,no_name,27.712812921102035
33.7558677,-84.38352840000002,no_name,27.748873851023216
40.681900799999994,-73.94560909999998,no_name,27.874719729532707
43.6622203,-79.34856979999999,no_name,27.94637722496424
43.6665115,-79.40240909999999,no_name,27.964262908219126
37.6001615,-122.3868872,no_name,28.053520278211074
37.798034,-122.40011100000001,no_name,28.053520278211074
33.7546601,-84.3833104,no_name,28.089143810376278
33.7550341,-84.3867013,no_name,28.124722220850465
33.754087,-84.38376550000001,no_name,28.160255680657446
33.754762799999995,-84.38719640000001,no_name,28.178005607210743
29.7569939,-95.3604359,no_name,28.19574435974337
40.677926899999996,-73.9454597,no_name,28.319604517012593
43.666711799999995,-79.3999689,no_name,28.35489375751565
43.6650791,-79.40229559999999,no_name,28.372521918222215
42.3658097,-71.0617167,no_name,28.39013913315678
33.754092299999996,-84.3885203,no_name,28.42534080710379
43.657439700000005,-79.37407040000001,no_name,28.478061731796284
33.7542251,-84.3890132,no_name,28.495613697550013
43.656485499999995,-79.373726,no_name,28.583211855912904
43.6403625,-79.3960908,no_name,28.61817604250837
42.3489751,-71.1009021,no_name,28.653097563788805
43.6670826,-79.4000374,no_name,28.809720581775867
37.5984416,-122.3855368,no_name,28.809720581775867
42.0506319,-87.6807436,no_name,28.861739379323623
42.3489172,-71.10092900000001,no_name,28.89636655359978
29.761557500000002,-95.36478740000001,no_name,28.982753492378876
43.6660247,-79.40290309999999,no_name,28.982753492378876
41.9209207,-87.6664475,no_name,29.103264421710495
42.36586320000001,-71.0632885,no_name,29.120439557122072
33.7552632,-84.3904052,no_name,29.154759474226502
33.868850200000004,-117.92288159999998,no_name,29.154759474226502
33.7549511,-84.3896509,no_name,29.257477676655586
41.873842700000004,-87.6321272,no_name,29.32575659723036
39.1089,-84.513874,no_name,29.34280150224242
43.666976899999995,-79.39838509999998,no_name,29.427877939124322
39.9541161,-75.18684909999999,no_name,29.631064780058107
43.65983320000001,-79.37521890000001,no_name,29.698484809834994
43.66048920000001,-79.3985064,no_name,29.715315916207253
43.6669051,-79.39920740000001,no_name,29.916550603303182
