type,type_code,OSM-ID,lat,lon,Name
ACCOMMO_ALPINEHUT,1376,1376,1376,1376,1376
SPORT_BASEBALL,1359,1359,1359,1359,1359
AMENITY_PRISON,1330,1330,1330,1330,1330
TOURIST_INFORMATION,1260,1260,1260,1260,1260
TRANSPORT_MARINA,1229,1229,1229,1229,1229
FOOD_ICECREAM,1212,1212,1212,1212,1212
TOURIST_FOUNTAIN,1176,1176,1176,1176,1176
LANDUSE_HILLS,1128,1128,1128,1128,1128
TOURIST_ZOO,1060,1060,1060,1060,1060
SHOP_GARDENCENTRE,925,925,925,925,925
POW_JEWISH,901,901,901,901,901
POI_PEAK1,877,877,877,877,877
SHOP_NEWSPAPER,859,859,859,859,859
SHOP_VIDEORENTAL,844,844,844,844,844
TRANSPORT_TERMINAL,792,792,792,792,792
TRANSPORT_LIGHTHOUSE,587,587,587,587,587
SHOP_MUSIC,530,530,530,530,530
POW_SIKH,462,462,462,462,462
SHOP_TOBACCO,458,458,458,458,458
HEALTH_HOSPITALEMERGENCY,450,450,450,450,450
SPORT_SKIINGDOWNHILL,389,389,389,389,389
SPORT_CRICKET,378,378,378,378,378
SPORT_CLIMBING,332,332,332,332,332
SPORT_GYMNASIUM,324,324,324,324,324
SPORT_GYM,319,319,319,319,319
SPORT_HORSE,312,312,312,312,312
SPORT_ICESKATING,284,284,284,284,284
SPORT_MOTORRACING,260,260,260,260,260
SPORT_BOWLING,230,230,230,230,230
FOOD_BIERGARTEN,223,223,223,223,223
SPORT_SHOOTING,216,216,216,216,216
SPORT_FOOTBALL,213,213,213,213,213
POW_JAIN,207,207,207,207,207
POI_MINE,199,199,199,199,199
TOURIST_CASTLE,190,190,190,190,190
TOURIST_BATTLEFIELD,169,169,169,169,169
TOURIST_WINDMILL,151,151,151,151,151
SPORT_MINIATURGOLF,138,138,138,138,138
SPORT_SKATING,138,138,138,138,138
POI_BUNKER,119,119,119,119,119
LANDUSE_DECIDUOUS,112,112,112,112,112
SPORT_ARCHERY,111,111,111,111,111
SHOP_HEARINGAIDS,74,74,74,74,74
TOURIST_WRECK,55,55,55,55,55
SPORT_CANOE,42,42,42,42,42
LANDUSE_CONIFEROUS,23,23,23,23,23
SPORT_SURFING,21,21,21,21,21
SPORT_SNOOKER,20,20,20,20,20
SPORT_DIVING,14,14,14,14,14
POW_BAHAI,7,7,7,7,7
SPORT_WATERSKI,6,6,6,6,6
