latitude,longitude,altitude,geometry,comparison,type
57.6999852,11.9906218,,Point,17,SPORT_SWIMMING
48.1475882,16.9432787,,Point,17,SHOP_TOYS
48.1476075,16.9429991,,Point,17,FOOD_FASTFOOD
48.147449,16.9435583,,Point,17,FOOD_RESTAURANT
48.1475597,16.943121,,Point,17,TOURIST_NIGHTCLUB
42.6896029,23.3421751,,Point,17,FOOD_RESTAURANT
46.2341265,7.3606143,,Point,17,FOOD_RESTAURANT
48.1475646,16.9435252,,Point,17,ACCOMMO_HOTEL
48.1477453,16.9435387,,Point,17,SHOP_DEPARTMENTSTORE
41.8125455,12.6809563,,Point,17.0880074906,MONEY_BANK
48.1475611,16.9436675,,Point,17.1464281995,SHOP_HAIRDRESSER
48.1468599,16.9441664,,Point,17.1464281995,HEALTH_DOCTORS
45.9228368,6.8655051,,Point,17.1464281995,EDUCATION_SCHOOL
48.147543,16.9439964,,Point,17.1755640373,FOOD_FASTFOOD
48.1475554,16.9437682,,Point,17.1755640373,SHOP_FLORIST
48.1757936,6.4479205,,Point,17.2046505341,HEALTH_PHARMACY
48.1756188,6.4477712,,Point,17.2046505341,SHOP_HAIRDRESSER
55.6964035,12.5854385,,Point,17.2046505341,POI_EMBASSY
54.8969885,23.9057946,,Point,17.2046505341,LANDUSE_GRASS
54.8978044,23.9071298,,Point,17.2336879396,ACCOMMO_HOTEL
54.897792,23.9069366,,Point,17.2336879396,FOOD_CAFE
50.4587361,3.9521307,,Point,17.2626765016,EDUCATION_UNIVERSITY
47.5641696,9.1079794,,Point,17.3205080757,FOOD_PUB
48.1477394,16.9438929,,Point,17.3205080757,SHOP_CLOTHES
55.696785,12.585876,,Point,17.3493515729,FOOD_CAFE
48.4586088,10.2787148,,Point,17.3493515729,POW_CHRISTIAN
48.0906649,-4.331039,,Point,17.3493515729,SHOP_BAKERY
49.1854298,6.9031354,,Point,17.378147197,TOURIST_THEATRE
48.147314,16.9429653,,Point,17.4068951855,SPORT_LEISURECENTER
48.1480711,16.942785,,Point,17.4068951855,HEALTH_DOCTORS
48.1480066,16.9428386,,Point,17.4355957742,HEALTH_DOCTORS
47.5640995,9.108355,,Point,17.4642491966,FOOD_RESTAURANT
