type,type_code,OSM-ID,lat,lon,Name
LANDUSE_HILLS,900,900,900,900,900
ACCOMMO_HOSTEL,820,820,820,820,820
SPORT_SKATING,813,813,813,813,813
POI_TOWERCOMMUNICATION,795,795,795,795,795
TRANSPORT_TERMINAL,781,781,781,781,781
LANDUSE_ALLOTMENTS,751,751,751,751,751
SHOP_MUSIC,719,719,719,719,719
TOURIST_THEMEPARK,656,656,656,656,656
POI_EMBASSY,639,639,639,639,639
POW_ISLAMIC,620,620,620,620,620
SHOP_VIDEORENTAL,589,589,589,589,589
SPORT_BOWLING,578,578,578,578,578
POI_BUNKER,558,558,558,558,558
TOURIST_ZOO,549,549,549,549,549
SPORT_GYMNASIUM,536,536,536,536,536
HEALTH_HOSPITALEMERGENCY,532,532,532,532,532
SPORT_HORSE,513,513,513,513,513
SHOP_FISH,459,459,459,459,459
SPORT_SHOOTING,450,450,450,450,450
POW_BUDDHIST,449,449,449,449,449
POI_CAVE,414,414,414,414,414
SPORT_MINIATURGOLF,411,411,411,411,411
SPORT_MOTORRACING,410,410,410,410,410
POI_MINE,375,375,375,375,375
POI_PEAK1,342,342,342,342,342
SHOP_HEARINGAIDS,325,325,325,325,325
ACCOMMO_ALPINEHUT,281,281,281,281,281
SPORT_GYM,269,269,269,269,269
SHOP_NEWSPAPER,252,252,252,252,252
MONEY_EXCHANGE,251,251,251,251,251
TOURIST_CASTLE2,246,246,246,246,246
POW_HINDU,168,168,168,168,168
TOURIST_WRECK,166,166,166,166,166
SPORT_SKIINGDOWNHILL,151,151,151,151,151
TOURIST_BATTLEFIELD,142,142,142,142,142
SPORT_CANOE,119,119,119,119,119
FOOD_BIERGARTEN,116,116,116,116,116
SPORT_ARCHERY,98,98,98,98,98
TOURIST_WINDMILL,92,92,92,92,92
POW_SIKH,88,88,88,88,88
POW_BAHAI,67,67,67,67,67
SPORT_CRICKET,49,49,49,49,49
LANDUSE_DECIDUOUS,37,37,37,37,37
LANDUSE_CONIFEROUS,36,36,36,36,36
SPORT_SNOOKER,30,30,30,30,30
POW_SHINTO,26,26,26,26,26
SPORT_SURFING,26,26,26,26,26
TOURIST_CASTLE,10,10,10,10,10
POW_JAIN,6,6,6,6,6
SPORT_DIVING,6,6,6,6,6
SPORT_WATERSKI,3,3,3,3,3
